Date,3mo_Tbill
06/23/17,0.97
06/26/17,0.99
06/27/17,1
06/28/17,1.02
06/29/17,1.04
06/30/17,1.03
07/03/2017,1.06
07/05/2017,1.05
07/06/2017,1.04
07/07/2017,1.05
07/10/2017,1.04
07/11/2017,1.05
07/12/2017,1.05
07/13/17,1.05
07/14/17,1.04
07/17/17,1.07
07/18/17,1.07
07/19/17,1.11
07/20/17,1.15
07/21/17,1.16
07/24/17,1.17
07/25/17,1.18
07/26/17,1.13
07/27/17,1.11
07/28/17,1.08
07/31/17,1.07
08/01/2017,1.08
08/02/2017,1.08
08/03/2017,1.08
08/04/2017,1.08
08/07/2017,1.02
08/08/2017,1.06
08/09/2017,1.06
08/10/2017,1.05
08/11/2017,1.03
08/14/17,1.02
08/15/17,1.04
08/16/17,1.02
08/17/17,1
08/18/17,1.02
08/21/17,1
08/22/17,1
08/23/17,1
08/24/17,1.02
08/25/17,1.03
08/28/17,0.98
08/29/17,1.03
08/30/17,1.03
08/31/17,1.01
09/01/2017,1.02
09/05/2017,1.03
09/06/2017,1.07
09/07/2017,1.05
09/08/2017,1.04
09/11/2017,1.05
09/12/2017,1.03
09/13/17,1.04
09/14/17,1.05
09/15/17,1.05
09/18/17,1.05
09/19/17,1.04
09/20/17,1.04
09/21/17,1.04
09/22/17,1.03
09/25/17,1.05
09/26/17,1.06
09/27/17,1.07
09/28/17,1.06
09/29/17,1.06
10/02/2017,1.01
10/03/2017,1.07
10/04/2017,1.08
10/05/2017,1.07
10/06/2017,1.07
10/10/2017,1.08
10/11/2017,1.1
10/12/2017,1.09
10/13/17,1.09
10/16/17,1.1
10/17/17,1.09
10/18/17,1.09
10/19/17,1.1
10/20/17,1.11
10/23/17,1.09
10/24/17,1.12
10/25/17,1.12
10/26/17,1.11
10/27/17,1.1
10/30/17,1.12
10/31/17,1.15
11/01/2017,1.18
11/02/2017,1.17
11/03/2017,1.18
11/06/2017,1.19
11/07/2017,1.22
11/08/2017,1.23
11/09/2017,1.24
11/10/2017,1.23
11/13/17,1.24
11/14/17,1.26
11/15/17,1.25
11/16/17,1.27
11/17/17,1.29
11/20/17,1.3
11/21/17,1.3
11/22/17,1.29
11/24/17,1.29
11/27/17,1.27
11/28/17,1.3
11/29/17,1.29
11/30/17,1.27
12/01/2017,1.27
12/04/2017,1.29
12/05/2017,1.3
12/06/2017,1.3
12/07/2017,1.29
12/08/2017,1.28
12/11/2017,1.33
12/12/2017,1.34
12/13/17,1.3
12/14/17,1.32
12/15/17,1.31
12/18/17,1.38
12/19/17,1.37
12/20/17,1.38
12/21/17,1.35
12/22/17,1.33
12/26/17,1.47
12/27/17,1.44
12/28/17,1.39
12/29/17,1.39
01/02/2018,1.44
01/03/2018,1.41
01/04/2018,1.41
01/05/2018,1.39
01/08/2018,1.45
01/09/2018,1.44
01/10/2018,1.42
01/11/2018,1.43
01/12/2018,1.43
01/16/18,1.45
01/17/18,1.44
01/18/18,1.45
01/19/18,1.44
01/22/18,1.44
01/23/18,1.44
01/24/18,1.43
01/25/18,1.42
01/26/18,1.41
01/29/18,1.44
01/30/18,1.44
01/31/18,1.46
02/01/2018,1.48
02/02/2018,1.48
02/05/2018,1.51
02/06/2018,1.52
02/07/2018,1.55
02/08/2018,1.55
02/09/2018,1.55
02/12/2018,1.62
02/13/18,1.59
02/14/18,1.58
02/15/18,1.58
02/16/18,1.62
02/20/18,1.66
02/21/18,1.64
02/22/18,1.63
02/23/18,1.64
02/26/18,1.66
02/27/18,1.66
02/28/18,1.65
03/01/2018,1.63
03/02/2018,1.65
03/05/2018,1.7
03/06/2018,1.68
03/07/2018,1.68
03/08/2018,1.67
03/09/2018,1.67
03/12/2018,1.71
03/13/18,1.73
03/14/18,1.76
03/15/18,1.77
03/16/18,1.78
03/19/18,1.8
03/20/18,1.81
03/21/18,1.74
03/22/18,1.72
03/23/18,1.74
03/26/18,1.79
03/27/18,1.77
03/28/18,1.73
03/29/18,1.73
04/02/2018,1.77
04/03/2018,1.75
04/04/2018,1.71
04/05/2018,1.72
04/06/2018,1.73
04/09/2018,1.76
04/10/2018,1.74
04/11/2018,1.73
04/12/2018,1.75
04/13/18,1.76
04/16/18,1.79
04/17/18,1.8
04/18/18,1.81
04/19/18,1.82
04/20/18,1.81
04/23/18,1.87
04/24/18,1.87
04/25/18,1.85
04/26/18,1.82
04/27/18,1.82
04/30/18,1.87
05/01/2018,1.85
05/02/2018,1.84
05/03/2018,1.84
05/04/2018,1.84
05/07/2018,1.86
05/08/2018,1.87
05/09/2018,1.88
05/10/2018,1.9
05/11/2018,1.92
05/14/18,1.93
05/15/18,1.92
05/16/18,1.92
05/17/18,1.92
05/18/18,1.91
05/21/18,1.93
05/22/18,1.93
05/23/18,1.92
05/24/18,1.91
05/25/18,1.9
05/29/18,1.93
05/30/18,1.94
05/31/18,1.93
06/01/2018,1.92
06/04/2018,1.94
06/05/2018,1.94
06/06/2018,1.95
06/07/2018,1.94
06/08/2018,1.93
06/11/2018,1.94
06/12/2018,1.92
06/13/18,1.94
06/14/18,1.94
06/15/18,1.94
06/18/18,1.94
06/19/18,1.94
06/20/18,1.94
06/21/18,1.94
06/22/18,1.93
06/25/18,1.93
06/26/18,1.93
06/27/18,1.93
06/28/18,1.93
06/29/18,1.93
07/02/2018,1.98
07/03/2018,1.98
07/05/2018,1.96
07/06/2018,1.97
07/09/2018,1.98
07/10/2018,1.99
07/11/2018,1.97
07/12/2018,1.98
07/13/18,1.98
07/16/18,2.01
07/17/18,2.02
07/18/18,2
07/19/18,2
07/20/18,1.99
07/23/18,1.99
07/24/18,2.02
07/25/18,2.01
07/26/18,1.99
07/27/18,2
07/30/18,2.04
07/31/18,2.03
08/01/2018,2.03
08/02/2018,2.02
08/03/2018,2.01
08/06/2018,2.05
08/07/2018,2.06
08/08/2018,2.06
08/09/2018,2.06
08/10/2018,2.05
08/13/18,2.06
08/14/18,2.08
08/15/18,2.07
08/16/18,2.07
08/17/18,2.05
08/20/18,2.06
08/21/18,2.08
08/22/18,2.09
08/23/18,2.08
08/24/18,2.09
08/27/18,2.12
08/28/18,2.13
08/29/18,2.13
08/30/18,2.11
08/31/18,2.11
09/04/2018,2.13
09/05/2018,2.14
09/06/2018,2.13
09/07/2018,2.14
09/10/2018,2.14
09/11/2018,2.15
09/12/2018,2.16
09/13/18,2.15
09/14/18,2.16
09/17/18,2.16
09/18/18,2.17
09/19/18,2.16
09/20/18,2.17
09/21/18,2.18
09/24/18,2.22
09/25/18,2.21
09/26/18,2.2
09/27/18,2.18
09/28/18,2.19
10/01/2018,2.23
10/02/2018,2.23
10/03/2018,2.23
10/04/2018,2.22
10/05/2018,2.23
10/09/2018,2.25
10/10/2018,2.27
10/11/2018,2.27
10/12/2018,2.28
10/15/18,2.31
10/16/18,2.3
10/17/18,2.31
10/18/18,2.32
10/19/18,2.31
10/22/18,2.34
10/23/18,2.33
10/24/18,2.34
10/25/18,2.34
10/26/18,2.33
10/29/18,2.34
10/30/18,2.33
10/31/18,2.34
11/01/2018,2.32
11/02/2018,2.33
11/05/2018,2.36
11/06/2018,2.35
11/07/2018,2.37
11/08/2018,2.35
11/09/2018,2.36
11/13/18,2.38
11/14/18,2.38
11/15/18,2.37
11/16/18,2.36
11/19/18,2.38
11/20/18,2.39
11/21/18,2.41
11/23/18,2.41
11/26/18,2.41
11/27/18,2.41
11/28/18,2.4
11/29/18,2.37
11/30/18,2.37
12/03/2018,2.38
12/04/2018,2.42
12/06/2018,2.41
12/07/2018,2.4
12/10/2018,2.41
12/11/2018,2.41
12/12/2018,2.43
12/13/18,2.43
12/14/18,2.42
12/17/18,2.4
12/18/18,2.39
12/19/18,2.4
12/20/18,2.39
12/21/18,2.39
12/24/18,2.45
12/26/18,2.44
12/27/18,2.41
12/28/18,2.4
12/31/18,2.45
01/02/2019,2.42
01/03/2019,2.41
01/04/2019,2.42
01/07/2019,2.45
01/08/2019,2.46
01/09/2019,2.45
01/10/2019,2.43
01/11/2019,2.43
01/14/19,2.45
01/15/19,2.45
01/16/19,2.43
01/17/19,2.42
01/18/19,2.41
01/22/19,2.43
01/23/19,2.41
01/24/19,2.37
01/25/19,2.39
01/28/19,2.42
01/29/19,2.42
01/30/19,2.42
01/31/19,2.41
02/01/2019,2.4
02/04/2019,2.42
